year	box office rank (excl. animation/doc)	box office rank (orig.)	title	ID	imdb	in collection?	frames	fps	Runtime (mins)	UPC	black	east_asian	hispanic_latino	south_asian	white	men	women	entropy	lead black	lead east_asian	lead hispanic_latino	lead south_asian	lead white	lead men	lead women	non-lead black	non-lead east_asian	non-lead hispanic_latino	non-lead south_asian	non-lead white	non-lead men	non-lead women	boxofficemojo	gross	theaters	total gross	release date	distributor	genres	director name	director IMDB id	director gender	awards (N/A)
1980	12	13	Cheech and Chong's Next Movie	cheech_and_chongs_next_movie	tt0080520	Y	170153	29.97002997	94.62	025192042423	0.05357574332	0.0325917056	0.2412966547	0.07403483263	0.7055531203	0.8549656041	0.1450343959	0.213	0	0.04373474663	0.3250610135	0.1	0.6749389865	1	0	0.2063369843	0.0008194021247	0.002458206374	0	0.7928436136	0.5592556606	0.4407443394	/release/rl2018215425/?ref_=bo_yld_table_13	$41,675,194	814	$41,675,194	Jul 18	Universal Pictures	Comedy,Sci-Fi,Crime	Tommy Chong	nm0001045	male	
1980	13	14	Caddyshack	caddyshack	tt0080487	Y	140936	23.97602407	97.97	883929266579	0	0	0.03003378765	0	0.9884396595	0.857359773	0.142640227	0	0	0	0.03226693785	0	1	1	0	0	0	0.02704295794	0	0.9729570421	0.6884598681	0.3115401319	/release/rl3326707201/?ref_=bo_yld_table_14	$39,846,344	656	$39,846,344	Jul 25	Warner Bros.	Sport,Comedy	Harold Ramis	nm0000601	male	
1980	14	15	Friday the 13th	friday_the_13th	tt0080761	Y	171697	29.97002997	95.48	032429276865	0	0	0.01295483115	0	0.9870451688	0.381415464	0.618584536	0	0	0	0	0	1	0	1	0	0	0.02081396636	0	0.9791860336	0.5167942762	0.4832057238	/release/rl3344074241/?ref_=bo_yld_table_15	$39,754,601	1,100	$39,754,601	May 9	Paramount Pictures	Thriller,Mystery,Horror	Sean S. Cunningham	nm0192446	male	
1980	15	16	Brubaker	brubaker	tt0080474	Y	187853	23.97602404	130.58	024543075387	0.1212316971	0.0008926758466	0.0114393364	0	0.8632333366	0.9437897099	0.05621029009	0.196	0	0	0	0	1	1	0	0.1985527596	0.001462020717	0.01873529665	0	0.7760041385	0.9107659492	0.08923405076	/release/rl3125380609/?ref_=bo_yld_table_16	$37,121,708	594	$37,121,708	Jun 20	Twentieth Century Fox	Drama,Crime	Stuart Rosenberg	nm0742341	male	
1980	16	17	The Jazz Singer	jazz_singer	tt0080948	Y	166592	23.97602405	115.80	013131377392	0.065442729	0	0.02342353135	0.0031626709	0.934557271	0.8085536461	0.2618468763	0.093	0	0	0	0	1	1	0	0.1299881023	0	0.04652587745	0.006281975015	0.8700118977	0.6450337438	0.4854979136	/release/rl3411707393/?ref_=bo_yld_table_17	$27,118,000	-	$27,118,000	Dec 19	Universal Pictures	Music,Drama,Romance	Sidney J. Furie	nm0002089	male	
1980	17	18	Flash Gordon	flash_gordon	tt0080745	Y	160165	23.97602405	111.34	014381463026	0.005281111294	0	0.04034090909	0.0141901611	0.9750267138	0.7400476994	0.2599523006	0.001	0	0	0	0	1	1	0	0.007021857923	0	0.05363797814	0.01886748634	0.966795082	0.6635144534	0.3364855466	/release/rl3461580289/?ref_=bo_yld_table_18	$27,107,960	823	$27,107,960	Dec 5	Universal Pictures	Adventure,Sci-Fi,Action	Mike Hodges	nm0388198	male	
1980	18	19	Bronco Billy	bronco_billy	tt0080472	Y	167453	23.97602404	116.40	085391858829	0.08168596684	0	0.008030697547	0	0.9142986844	0.7651604544	0.2348395456	0.246	0	0	0	0	1	1	0	0.1242864962	0	0.01221883389	0	0.8696040868	0.6603268448	0.3396731552	/release/rl1497990657/?ref_=bo_yld_table_19	$24,265,659	1,321	$24,265,659	Jun 11	Warner Bros.	Comedy,Adventure,Action	Clint Eastwood	nm0000142	male	
1980	19	20	Raging Bull	raging_bull	tt0081398	Y	185664	23.97602404	129.06	027616919533	0.0002662426506	0.00236197907	0.04842473098	0.0005324853012	0.9590198942	0.8784531295	0.1215468705	0	0	0	0	0	1	1	0	0.0005225153307	0.004635509271	0.09503610436	0.001045030661	0.9195743677	0.7844660477	0.2155339523	/release/rl4201285121/?ref_=bo_yld_table_20	$23,334,953	180	$23,334,953	Nov 14	Metro-Goldwyn-Mayer (MGM)	Sport,Drama,Biography	Martin Scorsese	nm0000217	male	
1980	20	21	Xanadu	xanadu	tt0081777	Y	138134	23.97602405	96.02	025192041020	0.001170330309	0	0.004394917423	0.0003401953943	0.9962069667	0.7328764446	0.2671235554	0.009	0	0	0	0	1	1	0	0.00204299165	0	0.00767200467	0.0005938634114	0.9933786768	0.5671944269	0.4328055731	/release/rl1501201921/?ref_=bo_yld_table_21	$22,762,571	249	$22,762,571	Aug 8	Universal Pictures	Romance,Musical,Fantasy	Robert Greenwald	nm0339254	male	
1980	21	22	American Gigolo	american_gigolo	tt0080365	Y	167739	23.97602402	116.60	097360898941	0.04767027166	0	0.09835168927	0	0.9356529942	0.7628817091	0.2371182909	0.114	0	0	0.1	0	1	1	0	0.1270621967	0	0.09560652845	0	0.8284869872	0.4258202971	0.5741797029	/release/rl3091432961/?ref_=bo_yld_table_22	$22,743,674	570	$22,743,674	Feb 1	Paramount Pictures	Drama,Mystery,Crime	Paul Schrader	nm0001707	male	
1980	22	23	My Bodyguard	my_bodyguard	tt0081207	Y	138696	23.97602407	96.41	024543029168	0.001247567417	0	0.006237837086	0	0.9888917848	0.8092568507	0.1907431493	0	0	0	0	0	1	1	0	0.001952068295	0	0.009760341476	0	0.9826189797	0.6959710626	0.3040289374	/release/rl392463873/?ref_=bo_yld_table_23	$22,482,952	477	$22,482,952	Jul 11	Twentieth Century Fox	Family,Comedy,Drama	Tony Bill	nm0082300	male	
1980	23	24	Fame	fame	tt0080716	Y	192156	23.97602404	133.58	012569514522	0.2382923569	0.001305844708	0.06971120742	0.01770586091	0.7023962088	0.5648193015	0.4351806985	0.388	0	0	0.05445012788	0	1	0.5445012788	0.4554987212	0.405095366	0.002219927012	0.08039385802	0.03009984163	0.4940756042	0.5766305653	0.4233694347	/release/rl4283467265/?ref_=bo_yld_table_24	$21,202,829	3	$21,202,829	May 16	Metro-Goldwyn-Mayer (MGM)	Music,Drama,Musical	Alan Parker	nm0000570	male	
1980	24	25	Altered States	altered_states	tt0080360	Y	147924	23.97602406	102.83	085391107620	0	0	0	0	0.9999616493	0.7775344616	0.2224655384	0	0	0	0	0	1	1	0	0	0	0	0	0.9999327177	0.6219210498	0.3780789502	/release/rl1749255681/?ref_=bo_yld_table_25	$19,679,242	3	$19,853,892	Dec 25	Warner Bros.	Thriller,Sci-Fi,Horror	Ken Russell	nm0001692	male	
1980	25	26	Honeysuckle Rose	honeysuckle.ros_tt0080888	tt0080888	Y	171905	23.97602404	119.50	012569815216	0	0	0.05108608998	0	0.9443156206	0.5935814303	0.4064185697	0.05	0	0	0	0	0.9	1	0	0	0	0.08398867314	0	0.9728576052	0.3507138889	0.6492861111	/release/rl1029211649/?ref_=bo_yld_table_26	$17,815,212	826	$17,815,212	Jul 18	Warner Bros.	Music,Drama,Romance	Jerry Schatzberg	nm0770234	male	
1980	26	27	Hero at Large	hero.at.large_tt0080863	tt0080863	Y	140880	23.97602407	97.93	012569675575	0.002730612564	0.002730612564	0.05942035279	0.02989690722	0.9328767837	0.7937583946	0.2062416054	0	0	0	0	0	1	1	0	0.005391038941	0.005391038941	0.117313397	0.05902536052	0.8674788662	0.6257491039	0.3742508961	/release/rl1952024065/?ref_=bo_yld_table_27	$15,934,737	486	$15,934,737	Feb 8	Metro-Goldwyn-Mayer (MGM)	Comedy,Romance	Martin Davidson	nm0203429	male	
1980	27	28	The Long Riders	long.riders_tt0081071	tt0081071	Y	143063	23.97602403	99.45	027616859037	0	0.02190719683	0.05042992699	0	0.9780928032	0.8636546254	0.1363453746	0	0	0.1	0.2	0	0.9	1	0	0	0	0.00847137389	0	1	0.8300569434	0.1699430566	/release/rl1398900225/?ref_=bo_yld_table_28	$15,795,189	759	$15,795,189	May 16	United Artists	Western,Biography,Crime	Walter Hill	nm0001353	male	
1980	28	29	The Island	island_tt0080934	tt0080934	Y	164137	23.97602404	114.10	032429257321	0.0229019684	0	0	0	0.9770980316	1	0	0.069	0	0	0	0	1	1	0	0.04009012839	0	0	0	0.9599098716	1	0	/release/rl1297778177/?ref_=bo_yld_table_29	$15,716,828	584	$15,716,828	Jun 13	Universal Pictures	Adventure,Drama,Action	Michael Ritchie	nm0006916	male	
1980	29	30	Nude Bomb, The	nude.bomb_tt0081249	tt0081249	Y	169026	29.97002997	94.00	011891850209	0	0	0.01194108846	0	0.9940294558	0.9123238534	0.08767614655	0	0	0	0	0	1	1	0	0	0	0.03500104418	0	0.9824994779	0.803934301	0.196065699	/release/rl3395782145/?ref_=bo_yld_table_30	$14,662,035	793	$14,662,035	May 9	Universal Pictures	Comedy,Crime,Action	Clive Donner	nm0232795	male	
1980	30	31	Oh, God! Book II	oh.god.book.ii_tt0081268	tt0081268	Y	135121	23.97602406	93.93	085393373122	0.009868734567	0.04097474332	0.03490274228	0.004015942468	0.9269635663	0.481757884	0.518242116	0.055	0	0	0	0	1	0	1	0.01625424551	0.06748722779	0.05748637155	0.006614436167	0.8797057396	0.7591694183	0.2408305817	/release/rl1885767169/?ref_=bo_yld_table_31	$14,504,277	1,033	$14,504,277	Oct 3	Warner Bros.	Comedy,Fantasy	Gilbert Cates	nm0146062	male	
1980	31	32	The Competition	competition_tt0080556	tt0080556	Y	225864	29.97002997	125.61	043396404946	0.04868475838	0	0.05974552401	0	0.9206287198	0.5518386218	0.4481613782	0.151	0	0	0	0	1	0.533288295	0.466711705	0.14388346	0	0.1765725661	0	0.7654252624	0.5885553093	0.4114446907	/release/rl2370471425/?ref_=bo_yld_table_32	$14,287,755	6	$14,287,755	Dec 3	Columbia Pictures	Music,Drama,Romance	Joel Oliansky	nm0000713	male	
1980	32	33	Wholly Moses!	wholly.moses_tt0081751	tt0081751	Y	186309	29.97002997	103.61	043396042056	0.03737253032	0.0008315326081	0.06125417159	0.01969735433	0.9399364741	0.8781797073	0.1218202927	0.001	0	0	0	0	1	1	0	0.08056701237	0.001792602678	0.1320506147	0.04246319358	0.8705161575	0.7574939362	0.2425060638	/release/rl2105247233/?ref_=bo_yld_table_33	$14,155,617	608	$14,155,617	Jun 13	Columbia Pictures	Comedy,Fantasy	Gary Weis	nm0918660	male	
1980	33	34	The Last Married Couple in America	last.married_tt0081032	tt0081032	Y	146728	23.97602406	102.00	025192119057	0.003786202153	0	0.1384142895	0	0.8676722347	0.6147539448	0.3852460552	0.003	0	0	0	0	1	1	0	0.006513971062	0	0.2381348486	0	0.7723367114	0.3746160786	0.6253839214	/release/rl3076490753/?ref_=bo_yld_table_34	$12,835,544	488	$12,835,544	Feb 8	Universal Pictures	Comedy	Gilbert Cates	nm0146062	male	
1980	34	35	First Family	first.family_tt0080739	tt0080739	Y	143713	23.97602405	99.90	883316736999	0.1606890874	0.01174520562	0.05364351108	0.001731006172	0.7822678225	0.8696433099	0.1303566901	0.3	0	0	0	0	1	1	0	0.2033619086	0.01486427902	0.0678891577	0.002190694617	0.7244465577	0.8369251307	0.1630748693	/release/rl4216555009/?ref_=bo_yld_table_35	$11,563,348	563	$15,198,912	Dec 25	Warner Bros.	Comedy	Buck Henry	nm0377750	male	
1980	35	36	The Fiendish Plot of Dr. Fu Manchu	fiendish.plot_tt0080731	tt0080731	Y	143423	23.97602403	99.70	883316248782	0	0.08348768545	0.07997884918	0.02703332172	0.8671752645	0.9012184864	0.09878151359	0.125	0	0	0.2	0	0.9	1	0	0	0.1150279621	0.03463682916	0.03724606677	0.8547746185	0.8661479646	0.1338520354	/release/rl1565754881/?ref_=bo_yld_table_36	$10,697,276	465	$10,697,276	Aug 8	Warner Bros.	Comedy,Fantasy,Crime	Richard Quine	nm0703689	male	
1980	36	37	Stardust Memories	stardust.memori_tt0081554	tt0081554	Y	127297	23.97602406	88.49	027616851161	0	0	0.003229425334	0.0004033630393	0.9999319325	0.4963446919	0.5036553081	0	0	0	0	0	1	1	0	0	0	0.005567265695	0.000695364958	0.9998826572	0.1541442323	0.8458557677	/release/rl1316193793/?ref_=bo_yld_table_37	$10,389,003	29	$10,389,003	Sep 26	United Artists	Comedy,Drama	Woody Allen	nm0000095	male	
1980	37	38	Somewhere in Time	somewhere.in.ti_tt0081534	tt0081534	Y	186064	29.97002997	103.47	025192091124	0	0.009634678966	0.02730070615	0.02730070615	0.9357639087	0.7072734236	0.2927265764	0	0	0	0	0	1	1	0	0	0.02383038869	0.06752549218	0.06752549218	0.841118627	0.3672069031	0.6327930969	/release/rl3195045377/?ref_=bo_yld_table_38	$9,709,597	369	$9,709,597	Oct 3	Universal Pictures	Romance,Drama,Fantasy	Jeannot Szwarc	nm0844358	male	
1980	38	39	The Formula	formula_tt0080754	tt0080754	Y	168548	23.97602405	117.16	012569793774	0	0	0.01064842796	0	0.9978118486	0.8186596659	0.1813403341	0	0	0	0	0	1	1	0	0	0	0.02237021106	0	0.9954031328	0.644275172	0.355724828	/release/rl1163036161/?ref_=bo_yld_table_39	$8,894,289	477	$8,894,289	Dec 19	Metro-Goldwyn-Mayer (MGM)	Thriller,Crime	John G. Avildsen	nm0000814	male	
1980	39	40	Battle Creek Brawl	battle.creek.br_tt0080436	tt0080436	Y	171211	29.97002997	95.21	024543120445	0.007817854241	0.491117627	0.0342235725	0.06285488866	0.4307850826	0.8833316402	0.1166683598	0.478	0	1	0	0	0	1	0	0.01104144492	0.2812865886	0.0483352182	0.08877228579	0.6084137174	0.8379937304	0.1620062696	/release/rl591889921/?ref_=bo_yld_table_40	$8,527,743	231	$8,527,743	Aug 29	Warner Bros.	Comedy,Crime,Action	Robert Clouse	nm0167195	male	
1980	40	41	The Awakening	awakening_tt0080402	tt0080402	Y	144817	23.97602405	100.67	883316496961	0	0	0.01606531356	0	0.9965844123	0.5376918841	0.4623081159	0	0	0	0	0	1	1	0	0	0	0.02974664598	0	0.9936756742	0.202525194	0.797474806	/release/rl608536065/?ref_=bo_yld_table_41	$8,415,112	909	$8,415,112	Oct 31	Warner Bros.	Horror	Mike Newell	nm0001565	male	
1980	41	42	Foxes	foxes_tt0080756	tt0080756	Y	151707	23.97602403	105.46	027616888419	0	0.01808415609	0.04701339915	0	0.9665714622	0.182115007	0.817884993	0	0	0	0	0	1	0	1	0	0.02993851183	0.07783117995	0	0.9446587017	0.2927827985	0.7072172015	/release/rl2421327361/?ref_=bo_yld_table_42	$7,470,348	34	$7,470,348	Feb 29	Metro-Goldwyn-Mayer (MGM)	Drama	Adrian Lyne	nm0001490	male	
1980	42	43	Where the Buffalo Roam	where.the.buffa_tt0081748	tt0081748	Y	178562	29.97002997	99.30	025192355127	0	0	0.01655903167	0	1	0.9657606187	0.03423938126	0	0	0	0	0	1	1	0	0	0	0.04161321672	0	1	0.9321271964	0.06787280356	/release/rl3262678529/?ref_=bo_yld_table_43	$6,659,377	464	$6,659,377	Apr 25	Universal Pictures	Comedy,Biography	Art Linson	nm0513165	male	
1980	44	45	Motel Hell	motel.hell_tt0081184	tt0081184	Y	146088	23.97602406	101.55	826663151343	0	0.0269017133	0.0538034266	0.0269017133	0.9730982867	0.4115003008	0.5884996992	0	0	0.03175277406	0.06350554812	0.03175277406	0.9682472259	0.3175277406	0.6824722594	0	0	0	0	1	0.7201051248	0.2798948752	/release/rl3177547265/?ref_=bo_yld_table_45	$6,342,668	757	$6,342,668	Oct 24	Metro-Goldwyn-Mayer (MGM)	Comedy,Thriller,Horror	Kevin Connor	nm0175428	male	
1980	45	46	Little Miss Marker	little.miss.mar_tt0081063	tt0081063	Y	147237	23.97602405	102.35	025192627026	0	0.03039263573	0.02265639677	0.01519631787	0.9544110464	0.8264736182	0.1735263818	0	0	0	0	0	1	1	0	0	0.05652690426	0.04213836478	0.02826345213	0.9152096436	0.6404310007	0.3595689993	/release/rl4133389825/?ref_=bo_yld_table_46	$6,321,392	472	$6,321,392	Mar 21	Universal Pictures	Comedy,Drama,Romance	Walter Bernstein	nm0077159	male	
1980	46	47	Oh Heavenly Dog	oh.heavenly.dog_tt0081269	tt0081269	Y	148608	23.97602406	103.30	024543195979	0	0	0.1294808913	0.06308726503	0.8516942612	0.7018821023	0.2981178977	0.021	0	0	0	0	1	1	0	0	0	0.2220485889	0.1081892319	0.7456684172	0.5757529816	0.4242470184	/release/rl1919321601/?ref_=bo_yld_table_47	$6,216,067	114	$6,216,067	Jul 11	Twentieth Century Fox	Comedy,Fantasy,Crime	Joe Camp	nm0131995	male	
1980	47	49	In God We Trust (or Gimme That Prime Time Religion)	in.god.we.trust_tt0080917	tt0080917	Y	175136	29.97002997	97.40	025192365829	0.03263048669	0.01148061211	0.01412610943	0	0.9673695133	0.8046122882	0.1953877118	0.003	0	0	0	0	1	1	0	0.06775441899	0.02383851062	0.02933165987	0	0.932245581	0.6010970994	0.3989029006	/release/rl3159655937/?ref_=bo_yld_table_49	$5,215,015	653	$5,215,015	Sep 26	Universal Pictures	Comedy	Marty Feldman	nm0001204	male	
1980	48	50	He Knows You're Alone	he.knows_tt0080850	tt0080850	Y	134785	23.97602406	93.69	888574489137	0.02582496413	0.005053014662	0.005053014662	0	0.9691220212	0.3404516404	0.6595483596	0	0	0	0	0	1	0	1	0.06915616361	0.0135313686	0.0135313686	0	0.9173124678	0.8736878936	0.1263121064	/release/rl3344336385/?ref_=bo_yld_table_50	$4,875,436	279	$4,875,436	Aug 29	Metro-Goldwyn-Mayer (MGM)	Thriller,Horror	Armand Mastroianni	nm0557857	male	
1980	49	51	Roadie	roadie_tt0081433	tt0081433	Y	190270	29.97002997	105.81	027616884633	0	0	9.10E-05	9.10E-05	0.9999089875	0.691630446	0.308369554	0	0	0	0	0	1	1	0	0	0	0.0001723732665	0.0001723732665	0.9998276267	0.5161760856	0.4838239144	/release/rl1768719873/?ref_=bo_yld_table_51	$4,226,370	549	$4,226,370	Jun 13	Metro-Goldwyn-Mayer (MGM)	Music,Comedy	Alan Rudolph	nm0748928	male	
1980	50	52	Gloria	gloria_tt0080798	tt0080798	Y	218625	29.97002997	121.58	043396465923	0.1902527958	0.03805055915	0.1174631754	0.03810122688	0.6931589519	0.4475917978	0.5524082022	0.777	0	0	0	0	1	0	1	0.4158426611	0.08316853222	0.2567436617	0.08327927857	0.3293260293	0.9322101233	0.06778987666	/release/rl1716815361/?ref_=bo_yld_table_52	$4,059,673	1	$4,059,673	Oct 1	Columbia Pictures	Drama,Thriller,Crime	John Cassavetes	nm0001023	male	
1981	0	1	Superman II	superman_2	tt0081573	Y	183408	23.97602405	127.49	085391112020	0	0	0.03625290945	0	0.9921685564	0.6980038795	0.3019961205	0	0	0	0	0	1	0.5628004437	0.4371995563	0	0	0.06652201506	0	0.9856297491	0.7894685641	0.2105314359	/release/rl4084368897/?ref_=bo_yld_table_1	$108,185,706	1,878	$108,185,706	June 19	Warner Bros.	Adventure,Sci-Fi,Action	Richard Donner	nm0001149	male	
1981	1	2	Stripes	stripes	tt0083131	Y	152689	23.97602405	106.14	043396791695	0	0	0.03121467288	0.003522079689	0.9941187842	0.9073327196	0.09266728041	0	0	0	0	0	1	1	0	0	0	0.04317032221	0.004871084685	0.9918661976	0.8744878773	0.1255121227	/release/rl1685227009/?ref_=bo_yld_table_2	$85,297,000	1,074	$85,297,000	Jun 26	Columbia Pictures	Comedy,War	Ivan Reitman	nm0718645	male	
1981	2	3	The Cannonball Run	cannonball_run	tt0082136	Y	137510	23.97602405	95.59	026359060922	0.08381548634	0.02389954804	0.08088563741	0.004623393068	0.8591790795	0.8407416656	0.1592583344	0.197	0	0	0.2	0	0.9	1	0	0.1095884111	0.03124856289	0.04425845022	0.006045067832	0.8466268108	0.7987337028	0.2012662972	/release/rl4752897/?ref_=bo_yld_table_3	$72,179,579	1,692	$72,179,579	Jun 19	Twentieth Century Fox	Sport,Comedy,Action	Hal Needham	nm0624102	male	
1981	3	4	For Your Eyes Only	for_your_eyes_only	tt0082398	Y	184070	23.97602403	127.95	027616066596	0	0	0.01674357972	0.00747751271	0.9884343632	0.7269406018	0.2730593982	0	0	0	0	0	1	1	0	0	0	0.03512552645	0.0156867035	0.9757370235	0.5356369983	0.4643630017	/release/rl4135224833/?ref_=bo_yld_table_4	$54,812,802	952	$54,812,802	Jun 26	Metro-Goldwyn-Mayer (MGM)	Adventure,Thriller,Action	John Glen	nm0322515	male	
1981	4	5	The Four Seasons	four_seasons	tt0082405	Y	155337	23.97602405	107.98	025192732829	0	0	0.02760708559	0	0.9907976381	0.5586362978	0.4413637022	0	0	0	0	0	1	0.6463285255	0.3536714745	0	0	0.08173028071	0	0.9727565731	0.3867172615	0.6132827385	/release/rl2572322305/?ref_=bo_yld_table_5	$50,427,646	623	$50,427,646	May 22	Universal Pictures	Comedy,Drama	Alan Alda	nm0000257	male	
1981	5	6	Excalibur	excalibur	tt0082348	Y	202459	23.97602402	140.74	085392201822	0.006577454234	0	0.01527138422	0	0.9619858688	0.8240985571	0.1759014429	0	0	0	0	0	1	1	0	0.009491001776	0	0.02203599289	0	0.9451471383	0.7543359796	0.2456640204	/release/rl1783662081/?ref_=bo_yld_table_6	$34,967,437	692	$34,967,437	Apr 10	Warner Bros.	Adventure,Fantasy,Drama	John Boorman	nm0000958	male	
1981	6	7	History of the World: Part I	history_of_the_world_part_1	tt0082517	Y	132756	23.97602407	92.28	024543025580	0.1025339035	0	0.0622714171	0.01202806785	0.8474082124	0.7508158842	0.2491841158	0.242	0	0	0.1	0	1	1	0	0.1471085726	0	0.04586963154	0.01725704213	0.7810718281	0.6820397491	0.3179602509	/release/rl2572781057/?ref_=bo_yld_table_7	$31,672,907	484	$31,672,907	Jun 12	Twentieth Century Fox	Comedy,Musical,History	Mel Brooks	nm0000316	male	
