actor IMDB	year	movie IMDB	movie ID	award_year	Actor	Title	Time	Mins	Lead
				1990	Dane Ladd	Wild at Heart	19:35	19.583	non-lead
				1991	Diane Ladd	Rambling Rose	34:24:00	34.4	non-lead
				1992	Miranda Richardson	Damage	20:12	20.2	non-lead
				1992	Judy Davis	Husbands and Wives	30:41:00	30.683	non-lead
				1993	Rosie Perez	Fearless	36:30:00	36.5	non-lead
				1994	Rosemary Harris	Tom and Viv	16:50	16.833	non-lead
				1994	Jennifer Tilly	Bullets Over Broadway	26:38:00	26.633	non-lead
				1994	Dianne Wiest	Bullets Over Broadway	27:01:00	27.017	non-lead
				1995	Joan Allen	Nixon	25:09:00	25.15	non-lead
				1995	Mira Sorvino	Mighty Aphrodite	35:06:00	35.1	non-lead
				1995	Mare Winningham	Georgia	40:14:00	40.233	non-lead
				1996	Joan Allen	The Crucible	23:33	23.55	non-lead
				1996	Barbara Hershey	The Portrait of a Lady	26:24:00	26.4	non-lead
				1996	Marianne Jean-Baptiste	Secrets and Lies	1:00:38	60.633	non-lead
				1997	Kim Basinger	L. A. Confidential	16:28	16.467	non-lead
				1998	Brenda Blethyn	Little Voice	39:02:00	39.033	non-lead
				1998	Rachel Griffiths	Hilary and Jackie	43:24:00	43.4	non-lead
				1999	Samantha Morton	Sweet and Lowdown	25:03:00	25.05	non-lead
				1999	Angelina Jolie	Girl, Interrupted	37:12:00	37.2	non-lead
				1999	Chloë Sevigny	Boys Don't Cry	50:45:00	50.75	non-lead
				2000	Marcia Gay Harden	Pollock	45:44:00	45.733	non-lead
				2001	Kate Winslet	Iris	21:57	21.95	non-lead
				2003	Patricia Clarkson	Pieces of April	20:27	20.45	non-lead
				2003	Shohreh Aghdashloo	House of Sand and Fog	21:02	21.033	non-lead
				2003	Holly Hunter	Thirteen	34:57:00	34.95	non-lead
				2005	Frances McDormand	North Country	15:11	15.183	non-lead
				2005	Amy Adams	Junebug	31:07:00	31.117	non-lead
				2006	Cate Blanchett	Notes on a Scandal	51:34:00	51.567	non-lead
				2007	Amy Ryan	Gone Baby Gone	13:18	13.3	non-lead
				2007	Cate Blanchett	I'm Not There	27:09:00	27.15	non-lead
				2008	Viola Davis	Doubt	10:23	10.383	non-lead
				2008	Marisa Tomei	The Wrestler	20:55	20.917	non-lead
				2008	Amy Adams	Doubt	36:51:00	36.85	non-lead
				2009	Maggie Gyllenhaal	Crazy Heart	31:03:00	31.05	non-lead
				2010	Jacki Weaver	Animal Kingdom	22:04	22.067	non-lead
				2011	Janet McTeer	Albert Nobbs	27:55:00	27.917	non-lead
				2012	Helen Hunt	The Sessions	37:41:00	37.683	non-lead
				2013	Sally Hawkins	Blue Jasmine	31:13:00	31.217	non-lead
				2013	Julia Roberts	August: Osage County	56:15:00	56.25	non-lead
				2014	Laura Dern	Wild	9:36	9.6	non-lead
				2015	Kate Winslet	Steve Jobs	39:41:00	39.683	non-lead
				2015	Jennifer Jason Leigh	The Hateful Eight	57:45:00	57.75	non-lead
				2015	Alicia Vikander	The Danish Girl	59:37:00	59.617	non-lead
				2017	Allison Janney	I, Tonya	15:37	15.617	non-lead
				2017	Mary J. Blige	Mudbound	27:10:00	27.167	non-lead
				2020	Glenn Close	Hillbilly Elegy	23:23	23.383	non-lead
				2020	Maria Bakalova	Borat Subsequent Moviefilm	40:06:00	40.1	non-lead
				2021	Jessie Buckley	The Lost Daughter	28:21:00	28.35	non-lead
				2022	Hong Chau	The Whale	24:43:00	24.717	non-lead
				2023	Emily Blunt	Oppenheimer	16:50	16.833	non-lead
				2023	America Ferrera	Barbie	22:08	22.133	non-lead
				2023	Da'Vine Joy Randolph	The Holdovers	25:29:00	25.483	non-lead
				2023	Jodie Foster	Nyad	1:00:16	60.267	non-lead
				1986	Dexter Gordon	Round Midnight	1:26:21	86.35	lead
