actor IMDB	year	movie IMDB	movie ID	award_year	Actor	Title	Time	Mins	Lead
nm0000142	1992	tt0105695	unforgiven	1992	Clint Eastwood	Unforgiven	57:25:00	57.417	lead
nm0000432	1992	tt0105695	unforgiven	1992	Gene Hackman	Unforgiven	30:57:00	30.95	non-lead
nm0000125	1987	tt0094226	untouchables	1987	Sean Connery	The Untouchables	33:33:00	33.55	non-lead
nm0000123	2009	tt1193138	up.in.the.air_tt1193138	2009	George Clooney	Up in the Air	1:13:56	73.933	lead
nm0267812	2009	tt1193138	up.in.the.air_tt1193138	2009	Vera Farmiga	Up in the Air	23:48	23.8	non-lead
nm0447695	2009	tt1193138	up.in.the.air_tt1193138	2009	Anna Kendrick	Up in the Air	33:45:00	33.75	non-lead
nm0000228	1995	tt0114814	usual.suspects_tt0114814	1995	Kevin Spacey	The Usual Suspects	36:53:00	36.883	non-lead
nm0001767	2004	tt0383694	vera.drake_tt0383694	2004	Imelda Staunton	Vera Drake	59:56:00	59.933	lead
nm0000056	1983	tt0084855	verdict	1982	Paul Newman	The Verdict	1:32:32	92.533	lead
nm0000051	1983	tt0084855	verdict	1982	James Mason	The Verdict	25:50:00	25.833	non-lead
nm0000288	2018	tt6266538	vice_tt6266538	2018	Christian Bale	Vice	1:06:27	66.45	lead
nm0005377	2018	tt6266538	vice_tt6266538	2018	Sam Rockwell	Vice	9:51	9.85	non-lead
nm0010736	2018	tt6266538	vice_tt6266538	2018	Amy Adams	Vice	27:04:00	27.067	non-lead
nm0004851	2008	tt0497465	vicky.cristina._tt0497465	2008	Penélope Cruz	Vicky Cristina Barcelona	14:29	14.483	non-lead
nm0000267	1982	tt0084865	victorvictoria_tt0084865	1982	Julie Andrews	Victor/Victoria	1:12:17	72.283	lead
nm0000690	1982	tt0084865	victorvictoria_tt0084865	1982	Lesley Ann Warren	Victor/Victoria	16:03	16.05	non-lead
nm0696481	1982	tt0084865	victorvictoria_tt0084865	1982	Robert Preston	Victor/Victoria	50:04:00	50.067	non-lead
nm0000163	1998	tt0120885	wag.the.dog_tt0120885	1997	Dustin Hoffman	Wag the Dog	45:24:00	45.4	lead
nm0000702	2005	tt0358273	walk_the_line	2005	Reese Witherspoon	Walk the Line	46:23:00	46.383	lead
nm0001618	2005	tt0358273	walk_the_line	2005	Joaquin Phoenix	Walk the Line	1:39:32	99.533	lead
nm0000140	1988	tt0094291	wall.street_tt0094291	1987	Michael Douglas	Wall Street	40:25:00	40.417	lead
nm3663196	2021	tt3581652	west.side.story_tt3581652	2021	Ariana DeBose	West Side Story	28:54:00	28.9	non-lead
nm0000291	1993	tt0108551	whats.love.got._tt0108551	1993	Angela Bassett	What's Love Got to Do with It	1:23:31	83.517	lead
nm0000401	1993	tt0108551	whats.love.got._tt0108551	1993	Laurence Fishburne	What's Love Got to Do with It	58:07:00	58.117	lead
nm0799777	2014	tt2582802	whiplash_tt2582802	2014	J. K. Simmons	Whiplash	41:09:00	41.15	non-lead
nm2225369	2010	tt1399683	winters.bone_tt1399683	2010	Jennifer Lawrence	Winter's Bone	1:05:40	65.667	lead
nm0370035	2010	tt1399683	winters.bone_tt1399683	2010	John Hawkes	Winter's Bone	17:04	17.067	non-lead
nm0000148	1985	tt0090329	witness	1985	Harrison Ford	Witness	50:46:00	50.767	lead
nm0000138	2014	tt0993846	wolf.of.wall.st_tt0993846	2013	Leonardo DiCaprio	The Wolf of Wall Street	2:21:07	141.117	lead
nm1706767	2014	tt0993846	wolf.of.wall.st_tt0993846	2013	Jonah Hill	The Wolf of Wall Street	45:31:00	45.517	non-lead
nm0000429	1989	tt0096463	working_girl	1988	Melanie Griffith	Working Girl	1:27:48	87.8	lead
nm0000244	1989	tt0096463	working_girl	1988	Sigourney Weaver	Working Girl	22:18	22.3	non-lead
nm0000349	1989	tt0096463	working_girl	1988	Joan Cusack	Working Girl	9:18	9.3	non-lead
nm0001388	1984	tt0086619	yentl_tt0086619	1983	Amy Irving	Yentl	25:24:00	25.4	non-lead
nm1567113	2013	tt1790885	zero.dark.thirt_tt1790885	2012	Jessica Chastain	Zero Dark Thirty	57:15:00	57.25	lead
				2006	Kate Winslet	Little Children	45:13:00	45.217	lead
				2006	Jackie Earle Haley	Little Children	21:34	21.567	non-lead
				2007	George Clooney	Michael Clayton	1:11:43	71.717	lead
				2020	Gary Oldman	Mank	1:30:09	90.15	lead
				2021	Denzel Washington	The Tragedy of Macbeth	43:36:00	43.6	lead
				1985	William Hurt	Kiss of the Spider Woman	1:18:13	78.217	lead
				2019	Jonathan Pryce	The Two Popes	1:12:42	72.7	lead
				1983	Albert Finney	The Dresser	1:20:04	80.067	lead
				2008	Frank Langella	Frost/Nixon	57:16:00	57.267	lead
				1983	Tom Courtenay	The Dresser	1:12:01	72.017	lead
				2022	Paul Mescal	Aftersun	58:14:00	58.233	lead
				1980	Robert Duvall	The Great Santini	55:33:00	55.55	lead
				1980	Jack Lemmon	Tribute	1:24:43	84.717	lead
				1984	Jeff Bridges	Starman	56:37:00	56.617	lead
				1984	Albert Finney	Under the Volcano	1:18:41	78.683	lead
				1986	James Woods	Salvador	1:18:05	78.083	lead
				1987	Marcello Mastroianni	Dark Eyes	1:15:53	75.883	lead
				1987	Jack Nicholson	Ironweed	1:31:10	91.167	lead
				1988	Edward James Olmos	Stand and Deliver	53:17:00	53.283	lead
				1988	Max von Sydow	Pelle the Conqueror	54:00:00	54	lead
				1989	Kenneth Branagh	Henry V	1:00:25	60.417	lead
				1990	Richard Harris	The Field	1:03:53	63.883	lead
				1990	Gerard Depardieu	Cyrano de Bergerac	1:12:35	72.583	lead
				1992	Robert Downey Jr.	Chaplin	1:28:40	88.667	lead
				1995	Anthony Hopkins	Nixon	2:04:10	124.167	lead
				1996	Billy Bob Thornton	Sling Blade	1:46:22	106.367	lead
				1997	Peter Fonda	Ulee's Gold	1:16:22	76.367	lead
				1997	Jack Nicholson	As Good As It Gets	1:16:55	76.917	lead
				1997	Robert Duvall	The Apostle	1:45:15	105.25	lead
				1998	Edward Norton	American History X	1:09:24	69.4	lead
				1998	Roberto Benigni	Life is Beautiful	1:17:20	77.333	lead
				1999	Sean Penn	Sweet and Lowdown	1:02:51	62.85	lead
				1999	Richard Farnsworth	The Straight Story	1:05:42	65.7	lead
				2000	Geoffrey Rush	Quills	37:25:00	37.417	lead
				2000	Javier Bardem	Before Night Falls	1:29:51	89.85	lead
				2000	Ed Harris	Pollock	1:36:12	96.2	lead
				2001	Sean Penn	I Am Sam	1:27:57	87.95	lead
				2001	Will Smith	Ali	1:57:22	117.367	lead
				2002	Michael Caine	The Quiet American	1:04:33	64.55	lead
				2003	Ben Kingsley	House of Sand and Fog	52:24:00	52.4	lead
				2005	David Strathairn	Good Night, and Good Luck	44:10:00	44.167	lead
				2005	Terrence Howard	Hustle & Flow	1:25:15	85.25	lead
				2006	Ryan Gosling	Half Nelson	1:07:54	67.9	lead
				2006	Peter O'Toole	Venus	1:09:05	69.083	lead
				2006	Leonardo DiCaprio	Blood Diamond	1:23:05	83.083	lead
				2007	Tommy Lee Jones	In the Valley of Elah	1:06:12	66.2	lead
				2008	Richard Jenkins	The Visitor	1:18:09	78.15	lead
				2008	Mickey Rourke	The Wrestler	1:28:18	88.3	lead
				2009	Morgan Freeman	Invictus	46:24:00	46.4	lead
				2009	Colin Firth	A Single Man	1:21:18	81.3	lead
				2009	Jeff Bridges	Crazy Heart	1:36:52	96.867	lead
				2010	Javier Bardem	Biutiful	1:41:55	101.917	lead
				2011	Demian Bichir	A Better Life	1:02:49	62.817	lead
				2015	Eddie Redmayne	The Danish Girl	1:18:42	78.7	lead
				2015	Bryan Cranston	Trumbo	1:19:22	79.367	lead
				2015	Michael Fassbender	Steve Jobs	1:39:34	99.567	lead
				2016	Viggo Mortensen	Captain Fantastic	1:08:59	68.983	lead
				2017	Denzel Washington	Roman J. Israel, Esq.	1:35:00	95	lead
				2017	Timothée Chalamet	Call Me By Your Name	1:49:34	109.567	lead
				2018	Willem Dafoe	At Eternity's Gate	1:13:02	73.033	lead
				2019	Antonio Banderas	Pain and Glory	59:31:00	59.517	lead
				2020	Chadwick Boseman	Ma Rainey's Black Bottom	44:07:00	44.117	lead
				2021	Javier Bardem	Being the Ricardos	55:38:00	55.633	lead
				2021	Andrew Garfield	tick, tick... BOOM!	1:32:13	92.217	lead
				2022	Bill Nighy	Living	48:25:00	48.417	lead
				2022	Brendan Fraser	The Whale	1:21:57	81.95	lead
				2023	Colman Domingo	Rustin	1:06:43	66.717	lead
				2023	Paul Giamatti	The Holdovers	1:13:47	73.783	lead
				2023	Jeffrey Wright	American Fiction	1:22:55	82.917	lead
				2023	Bradley Cooper	Maestro	1:32:57	92.95	lead
				2023	Cillian Murphy	Oppenheimer	1:53:10	113.167	lead
				1980	Ellen Burstyn	Resurrection	1:15:54	75.9	lead
				1981	Marsha Mason	Only When I Laugh	1:37:04	97.067	lead
				1982	Jessica Lange	Frances	1:44:04	104.067	lead
				1983	Jane Alexander	Testament	48:47:00	48.783	lead
				1984	Sissy Spacek	The River	40:51:00	40.85	lead
				1984	Vanessa Redgrave	The Bostonians	46:54:00	46.9	lead
				1984	Jessica Lange	Country	1:00:24	60.4	lead
				1985	Geraldine Page	The Trip to Bountiful	1:18:39	78.65	lead
				1985	Jessica Lange	Sweet Dreams	1:21:57	81.95	lead
				1986	Jane Fonda	The Morning After	1:19:48	79.8	lead
				1987	Meryl Streep	Ironweed	45:32:00	45.533	lead
				1987	Sally Kirkland	Anna	1:08:32	68.533	lead
				1989	Michelle Pfeiffer	The Fabulous Baker Boys	50:15:00	50.25	lead
				1989	Jessica Lange	Music Box	1:23:48	83.8	lead
				1989	Isabelle Adjani	Camille Claudel	1:37:45	97.75	lead
				1990	Joanne Woodward	Mr. and Mrs. Bridge	1:02:23	62.383	lead
				1991	Laura Dern	Rambling Rose	50:22:00	50.367	lead
				1991	Geena Davis	Thelma and Louise	1:09:36	69.6	lead
				1991	Susan Sarandon	Thelma and Louise	1:12:42	72.7	lead
				1991	Bette Midler	For the Boys	1:24:06	84.1	lead
				1992	Catherine Deneuve	Indochine	1:01:27	61.45	lead
				1992	Susan Sarandon	Lorenzo's Oil	1:10:01	70.017	lead
				1992	Michelle Pfeiffer	Love Field	1:10:02	70.033	lead
				1992	Mary McDonnell	Passion Fish	1:17:54	77.9	lead
				1993	Stockard Channing	Six Degrees of Separation	1:02:32	62.533	lead
				1994	Jessica Lange	Blue Sky	56:18:00	56.3	lead
				1994	Miranda Richardson	Tom and Viv	56:53:00	56.883	lead
				1996	Diane Keaton	Marvin's Room	51:30:00	51.5	lead
				1996	Brenda Blethyn	Secrets and Lies	1:01:16	61.267	lead
				1997	Julie Christie	Afterglow	41:40:00	41.667	lead
				1997	Helena Bonham Carter	The Wings of the Dove	50:07:00	50.117	lead
				1997	Helen Hunt	As Good As It Gets	59:00:00	59	lead
				1998	Meryl Streep	One True Thing	43:25:00	43.417	lead
				1998	Emily Watson	Hilary and Jackie	1:06:03	66.05	lead
				1998	Fernanda Montenegro	Central Station	1:17:39	77.65	lead
				1999	Janet McTeer	Tumbleweeds	1:06:08	66.133	lead
				1999	Hilary Swank	Boys Don't Cry	1:13:02	73.033	lead
				1999	Meryl Streep	Music of the Heart	1:34:26	94.433	lead
				2000	Ellen Burstyn	Requiem for a Dream	35:47:00	35.783	lead
				2000	Joan Allen	The Contender	45:48:00	45.8	lead
				2000	Laura Linney	You Can Count on Me	1:01:03	61.05	lead
				2001	Judi Dench	Iris	44:11:00	44.183	lead
				2001	Halle Berry	Monster's Ball	49:13:00	49.217	lead
				2002	Salma Hayek	Frida	1:26:36	86.6	lead
				2003	Samantha Morton	In America	30:33:00	30.55	lead
				2003	Keisha Castle-Hughes	Whale Rider	44:04:00	44.067	lead
				2003	Naomi Watts	21 Grams	48:08:00	48.133	lead
				2003	Charlize Theron	Monster	1:23:11	83.183	lead
				2004	Annette Bening	Being Julia	1:10:15	70.25	lead
				2004	Catalina Sandino Moreno	Maria Full of Grace	1:15:51	75.85	lead
				2005	Charlize Theron	North Country	1:03:36	63.6	lead
				2005	Felicity Huffman	Transamerica	1:17:29	77.483	lead
				2006	Judi Dench	Notes on a Scandal	55:46:00	55.767	lead
				2006	Penélope Cruz	Volver	1:12:50	72.833	lead
				2007	Julie Christie	Away from Her	47:53:00	47.883	lead
				2007	Cate Blanchett	Elizabeth: The Golden Age	51:39:00	51.65	lead
				2007	Laura Linney	The Savages	1:16:06	76.1	lead
				2007	Marion Cotillard	La Vie en Rose	1:21:14	81.233	lead
				2008	Meryl Streep	Doubt	51:40:00	51.667	lead
				2008	Melissa Leo	Frozen River	57:53:00	57.883	lead
				2008	Anne Hathaway	Rachel Getting Married	1:05:59	65.983	lead
				2008	Angelina Jolie	Changeling	1:16:04	76.067	lead
				2009	Helen Mirren	The Last Station	38:09:00	38.15	lead
				2009	Meryl Streep	Julie and Julia	54:03:00	54.05	lead
				2010	Nicole Kidman	Rabbit Hole	1:00:15	60.25	lead
				2010	Michelle Williams	Blue Valentine	1:18:57	78.95	lead
				2011	Rooney Mara	The Girl with the Dragon Tattoo	1:01:38	61.633	lead
				2011	Glenn Close	Albert Nobbs	1:04:35	64.583	lead
				2011	Meryl Streep	The Iron Lady	1:11:35	71.583	lead
				2012	Naomi Watts	The Impossible	47:16:00	47.267	lead
				2013	Meryl Streep	August: Osage County	53:08:00	53.133	lead
				2013	Cate Blanchett	Blue Jasmine	1:07:31	67.517	lead
				2014	Julianne Moore	Still Alice	1:21:08	81.133	lead
				2014	Marion Cotillard	Two Days, One Night	1:24:51	84.85	lead
				2014	Reese Witherspoon	Wild	1:41:45	101.75	lead
				2015	Charlotte Rampling	45 Years	1:27:03	87.05	lead
				2016	Ruth Negga	Loving	52:19:00	52.317	lead
				2016	Meryl Streep	Florence Foster Jenkins	59:38:00	59.633	lead
				2016	Natalie Portman	Jackie	1:16:29	76.483	lead
				2016	Isabelle Huppert	Elle	1:49:55	109.917	lead
				2017	Margot Robbie	I, Tonya	1:05:41	65.683	lead
				2018	Glenn Close	The Wife	1:02:02	62.033	lead
				2018	Melissa McCarthy	Can You Ever Forgive Me?	1:22:52	82.867	lead
				2019	Cynthia Erivo	Harriet	1:25:12	85.2	lead
				2019	Renée Zellweger	Judy	1:27:29	87.483	lead
				2020	Viola Davis	Ma Rainey's Black Bottom	26:41:00	26.683	lead
				2020	Vanessa Kirby	Pieces of a Woman	1:18:32	78.533	lead
				2020	Andra Day	The United States vs. Billie Holiday	1:27:42	87.7	lead
				2021	Olivia Colman	The Lost Daughter	1:08:08	68.133	lead
				2021	Kristen Stewart	Spencer	1:18:15	78.25	lead
				2021	Nicole Kidman	Being the Ricardos	1:23:55	83.917	lead
				2021	Penélope Cruz	Parallel Mothers	1:28:40	88.667	lead
				2021	Jessica Chastain	The Eyes of Tammy Faye	1:36:42	96.7	lead
				2022	Andrea Riseborough	To Leslie	1:33:04	93.067	lead
				2022	Ana de Armas	Blonde	1:53:44	113.733	lead
				2023	Lily Gladstone	Killers of the Flower Moon	56:13:00	56.217	lead
				2023	Carey Mulligan	Maestro	1:04:15	64.25	lead
				2023	Sandra Hüller	Anatomy of a Fall	1:14:39	74.65	lead
				2023	Annette Bening	Nyad	1:20:21	80.35	lead
				2023	Emma Stone	Poor Things	1:37:19	97.317	lead
				1988	Alec Guinness	Little Dorrit	1:04:01	64.017	non-lead
				2019	Anthony Hopkins	The Two Popes	55:14:00	55.233	non-lead
				2020	Sacha Baron Cohen	The Trial of the Chicago 7	30:14:00	30.233	non-lead
				2007	Tilda Swinton	Michael Clayton	18:34	18.567	non-lead
				2007	Tom Wilkinson	Michael Clayton	20:53	20.883	non-lead
				2020	Amanda Seyfried	Mank	18:13	18.217	non-lead
